Theta (degrees),Raw Intensity,Model Baseline,Corrected Net Intensity
4.7218,714024.265599999,726015.1183478627,-11990.85274786374
4.7718,713551.7716,722646.7372317049,-9094.965631704894
4.8218,710463.1456,719524.3737795202,-9061.228179520112
4.8718,711161.8184,716639.7845636838,-5477.966163683799
4.9218,707676.6446,713985.0537884214,-6308.409188421443
4.9718,706536.921,711552.5768152976,-5015.655815297621
5.0218,705544.9454,709335.0446728878,-3790.0992728878045
5.0718,703545.296,707325.429482712,-3780.1334827119717
5.1218,703230.2676,705516.9707388163,-2286.703138816287
5.1718,703233.3916,703903.1623832339,-669.770783233922
5.2218,700315.794999999,702477.7406239802,-2161.9456239811843
5.2718,701332.8468,701234.672446282,98.17435371805914
5.3218,699845.321399999,700168.1447714533,-322.82337145437486
5.3718,700937.9444,699272.5542212157,1665.3901787843788
5.4218,701226.969799999,698542.4974483805,2684.472351618577
5.4718,700628.666999999,697972.7619976683,2655.9050023306627
5.5218,701151.968799999,697558.3176630621,3593.6511369368527
5.5718,701714.016599999,697294.308310498,4419.708289501024
5.6218,700675.167999999,697176.0441369322,3499.1238630667794
5.6718,702956.794,697198.9943388478,5757.799661152181
5.7218,702386.8214,697358.780165164,5028.041234835982
5.7718,700422.5724,697651.1683312263,2771.4040687736124
5.8218,702418.8986,698072.0647721838,4346.833827816183
5.8718,703810.0958,698617.5087155118,5192.587084488245
5.9218,704474.469799999,699283.6670538248,5190.802746174275
5.9718,705416.9464,700066.8290003776,5350.117399622453
6.0218,706094.293999999,700963.4010108204,5130.892989178537
6.0718,706011.9454,701969.9019558686,4042.0434441313846
6.1218,709647.672,703082.9585305327,6564.713469467359
6.1718,708994.917,704299.3008865003,4695.616113499738
6.2218,711009.9972,705615.7584751119,5394.23872488807
6.2718,713431.743199999,707029.2560891807,6402.487110818271
6.3218,714230.391599999,708536.8100926484,5693.581507350667
6.3718,715053.1182,710135.5248277555,4917.593372244504
6.4218,717634.216799999,711822.5891900583,5811.627609940711
6.4718,718766.9718,713595.2733622049,5171.698437795159
6.5218,719658.8438,715450.9256979604,4207.918102039606
6.5718,722706.669,717386.9697484752,5319.699251524755
6.6218,723190.419,719400.9014232741,3789.5175767259207
6.6718,725986.6446,721490.2862789073,4496.358321092674
6.7218,728057.8732,723652.7569286077,4405.116271392326
6.7718,730791.819399999,725886.0105667057,4905.8088332932675
6.8218,732580.8214,728187.8066019122,4393.014798087766
6.8718,734297.7472,730555.9643939236,3741.7828060763422
6.9218,736573.370199999,732988.3610881256,3585.00911187334
6.9718,738899.172999999,735482.9295434713,3416.243456527707
7.0218,742416.545999999,738037.6563488886,4378.889651110396
7.0718,743844.1202,740650.5799238345,3193.5402761654695
7.1218,746082.120199999,743319.7886988653,2762.3315011336235
7.1718,748117.3478,746043.419372309,2073.9284276909893
7.2218,751851.667999999,748819.6552393625,3032.012760636513
7.2718,754237.5958,751646.7245901192,2590.871209880803
7.3218,756407.0704,754522.8991732362,1884.1712267637486
7.3718,759428.467799999,757446.4927221236,1981.9750778754242
7.4218,760602.621199999,760415.8595407051,186.76165929390118
7.4718,762623.869199999,763429.3931459667,-805.5239459676668
7.5218,766881.817399999,766485.5249646396,396.2924353594426
7.5718,767759.572399999,769582.7230815283,-1823.1506815293105
7.6218,772089.4708,772719.4910370994,-630.0202370993793
7.6718,775073.2198,775894.3666720927,-821.1468720927369
7.7218,777186.268599999,779105.9210170212,-1919.6524170221528
7.7718,780136.9688,782352.7572245359,-2215.7884245358873
7.8218,783734.369199999,785633.5095427397,-1899.1403427406913
7.8718,787018.218799999,788946.8423276284,-1928.6235276294174
7.9218,786239.444399999,792291.4490929318,-6052.004692932824
7.9718,790492.820399999,795666.0515957117,-5173.231195712695
8.0218,794515.748199999,799069.3989561562,-4553.650756157236
8.0718,796439.3682,802500.2668100875,-6060.898610087461
8.1218,800175.746199999,805957.4564927758,-5781.710292776814
8.1718,802322.414999999,809439.7942527147,-7117.379252715735
8.2218,805972.371199999,812946.1304940882,-6973.759294089163
8.2718,809977.217799999,816475.339046706,-6498.121246706927
8.3218,813147.667999999,820026.316462263,-6878.648462263984
8.3718,817838.993199999,823597.9813358145,-5758.988135815482
8.4218,822796.372199999,827189.2736514207,-4392.901451421669
8.4718,823055.5958,830799.1541509673,-7743.558350967243
8.5218,828348.368199999,834426.6037252003,-6078.235525201308
8.5718,830534.472799999,838070.6228260768,-7536.150026077754
8.6218,833383.197399999,841730.2308995653,-8347.033499566256
8.6718,836500.319399999,845404.465838063,-8904.146438064054
