2Theta (degrees),Raw Intensity,Polynomial Baseline,Corrected Net Intensity
27.0001,686026.5313,671209.8412981704,14816.690001829644
27.0201,686318.9376,672549.2223900966,13769.715209903312
27.0401,686666.9376,673875.235216368,12791.702383631957
27.0601,688723.9688,675187.9177780151,13536.051021984895
27.0801,688500.7813,676487.3080760725,12013.473223927547
27.1001,689461.6563,677773.4441115931,11688.212188406964
27.1201,689453.7188,679046.3638855778,10407.354914422263
27.1401,690249.4688,680306.1053990871,9943.36340091296
27.1601,690806.0626,681552.7066531442,9253.355946855736
27.1801,691399.2813,682786.2056487836,8613.075651216437
27.2001,692347.3438,684006.6403870434,8340.703412956675
27.2201,692654.8126,685214.0488689579,7440.76373104204
27.2401,691273.3751,686408.4690955505,4864.906004449469
27.2601,693326.3751,687589.9390678741,5736.436032125843
27.2801,695050.0001,688758.4967869408,6291.503313059104
27.3001,694999.7188,689914.1802538037,5085.5385461963015
27.3201,694022.5938,691057.0274694785,2965.566330521484
27.3401,693579.5,692187.076435022,1392.423564977944
27.3601,695639.3438,693304.3651514426,2334.978648557444
27.3801,694012.6563,694408.9316198006,-396.27531980059575
27.4001,695267.25,695500.8138411082,-233.56384110823274
27.4201,696985.75,696580.0498164073,405.7001835927367
27.4401,697406.9375,697646.6775467359,-239.74004673585296
27.4601,698463.625,698700.7350331284,-237.11003312841058
27.4801,698687.375,699742.2602766082,-1054.885276608169
27.5001,699108.0,700771.2912782207,-1663.2912782207131
27.5201,699580.5313,701787.866038993,-2207.3347389929695
27.5401,699584.2813,702792.0225599632,-3207.7412599631352
27.5601,701035.4063,703783.7988421544,-2748.392542154412
27.5801,702534.5626,704763.2328866273,-2228.67028662737
27.6001,702351.625,705730.3626943864,-3378.737694386393
27.6201,702269.0313,706685.226266481,-4416.194966480951
27.6401,703477.2188,707627.8616039418,-4150.642803941737
27.6601,704746.5938,708558.3067078106,-3811.712907810579
27.6801,704737.4376,709476.5995791033,-4739.1619791033445
27.7001,705949.3126,710382.7782188728,-4433.465618872899
27.7201,705795.8751,711276.8806281425,-5481.005528142559
27.7401,705549.625,712158.944807943,-6609.319807942957
27.7601,709819.1563,713029.0087593272,-3209.8524593272014
27.7801,707431.5313,713887.1104833037,-6455.579183303635
27.8001,709110.0313,714733.2879809253,-5623.25668092526
27.8201,709055.5938,715567.5792532116,-6511.985453211586
27.8401,709521.2501,716390.0223012194,-6868.772201219457
27.8601,710662.375,717200.655125957,-6538.280125956982
27.8801,711662.6563,717999.5157284737,-6336.859428473632
27.9001,711178.25,718786.6421097964,-7608.392109796405
27.9201,711907.0625,719562.0722709671,-7655.009770967066
27.9401,711763.6563,720325.8442130052,-8562.187913005124
27.9601,713917.5938,721077.9959369712,-7160.402136971126
27.9801,714498.875,721818.5654438622,-7319.69044386223
28.0001,714007.2813,722547.5907347538,-8540.309434753726
28.0201,714478.7813,723265.1098106392,-8786.328510639141
28.0401,714517.9688,723971.1606725864,-9453.19187258638
28.0601,715315.4688,724665.7813216075,-9350.312521607499
28.0801,715641.75,725349.0097587444,-9707.259758744389
28.1001,715984.5938,726020.8839850314,-10036.290185031365
28.1201,717741.9375,726681.442001503,-8939.504501502961
28.1401,716468.6563,727330.7218091898,-10862.065509189735
28.1601,717726.4376,727968.7614091337,-10242.323809133726
28.1801,719487.0626,728595.5988023542,-9108.53620235424
28.2001,720617.625,729211.2719899006,-8593.646989900619
28.2201,720669.5001,729815.8189727999,-9146.31887279998
28.2401,720825.5938,730409.2777520791,-9583.683952079038
28.2601,721918.9688,730991.6863287911,-9072.71752879105
28.2801,721148.6876,731563.0827039517,-10414.3951039518
28.3001,722775.3126,732123.5048786029,-9348.192278602975
28.3201,722391.1563,732672.990853779,-10281.834553778986
28.3401,725443.7501,733211.5786305144,-7767.828530514496
28.3601,724360.6251,733739.3062098436,-9378.68110984366
28.3801,732186.9376,734256.2115927897,-2069.273992789793
28.4001,732575.1251,734762.3327804059,-2187.2076804059325
28.4201,736538.4688,735257.7077737153,1280.7610262847738
28.4401,735510.9688,735742.3745737448,-231.405773744802
28.4601,737400.6875,736216.3711815439,1184.3163184560835
28.4801,738363.5,736679.735598132,1683.7644018679857
28.5001,737298.5313,737132.5058245622,166.02547543786932
28.5201,734268.0938,737574.7198618427,-3306.6260618426604
28.5401,731561.1876,738006.4157110304,-6445.2281110304175
28.5601,736007.625,738427.6313731447,-2420.006373144686
28.5801,739242.9688,738838.4048492238,404.5639507762389
28.6001,739211.125,739238.7741403095,-27.649140309542418
28.6201,738146.7188,739628.7772474252,-1482.0584474251373
28.6401,737594.5313,740008.4521716088,-2413.920871608774
28.6601,738562.7813,740377.8369138986,-1815.0556138985557
28.6801,739946.1563,740736.9694753177,-790.8131753177149
28.7001,740653.0938,741085.8878569193,-432.79405691928696
28.7201,738973.5001,741424.6300597116,-2451.1299597116886
28.7401,740035.8438,741753.2340847515,-1717.3902847514255
28.7601,739511.8125,742071.7379330657,-2559.9254330657423
28.7801,740098.0626,742380.1796056777,-2282.1170056777773
28.8001,741686.3126,742678.597103633,-992.28450363304
28.8201,742673.4688,742967.0284279659,-293.55962796590757
28.8401,742475.7188,743245.511579711,-769.7927797109587
28.8601,743692.7813,743514.0845598914,178.69674010865856
28.8801,745080.6875,743772.7853695527,1307.902130447328
28.9001,743146.5001,744021.6520097218,-875.1519097218988
28.9201,743630.9688,744260.7224814408,-629.7536814407213
28.9401,744776.5313,744490.0347857252,286.49651427485514
28.9601,745431.6563,744709.626923643,722.0293763569789
28.9801,744309.2188,744919.5368961915,-610.3180961915059
29.0001,743584.5626,745119.8027044311,-1535.24010443117
29.0201,746393.8126,745310.4623493738,1083.3502506260993
29.0401,748803.4376,745491.553832069,3311.883767930907
29.0601,748690.8751,745663.1151535548,3027.7599464451196
29.0801,747605.1563,745825.1843148582,1779.9719851418631
29.1001,749219.0313,745977.7993170023,3241.231982997735
29.1201,750614.1875,746120.998161044,4493.189338956028
29.1401,750726.4063,746254.8188479878,4471.587452012231
29.1601,749734.2188,746379.2993789054,3354.919421094586
29.1801,750519.25,746494.4777547941,4024.772245205939
29.2001,751152.3438,746600.3919767104,4551.951823289623
29.2201,751016.7813,746697.0800456814,4319.701254318585
29.2401,748676.4688,746784.5799627416,1891.888837258448
29.2601,749370.2188,746862.929728929,2507.289071071078
29.2801,749209.3751,746932.1673452705,2277.207754729432
29.3001,749537.5313,746992.3308128044,2545.2004871956306
29.3201,749975.5001,747043.4581325613,2932.0419674386503
29.3401,750072.2188,747085.5873055756,2986.6314944244223
29.3601,750020.6875,747118.7563328892,2901.9311671108007
29.3801,750480.7813,747143.003215529,3337.778084471007
29.4001,750002.8438,747158.3659545295,2844.4778454705374
29.4201,752623.0,747164.8825509213,5458.117449078709
29.4401,752529.1875,747162.5910057463,5366.596494253725
29.4601,751990.8751,747151.5293200389,4839.3457799610915
29.4801,751354.5938,747131.735494826,4222.8583051740425
29.5001,750835.5313,747103.2475311458,3732.2837688542204
29.5201,750425.9063,747066.103430029,3359.8028699710267
