Theta (degrees),Raw Intensity,Model Baseline,Corrected Net Intensity
4.705,239173.9375,240575.08019005816,-1401.1426900581573
4.725,238978.4219,239852.36961714592,-873.9477171459293
4.745,237745.3906,239135.7126106079,-1390.3220106078952
4.765,237425.7188,238425.03240704938,-999.3136070493783
4.785,237555.5,237720.2535250377,-164.75352503769682
4.805,236595.125,237021.30173842245,-426.1767384224513
4.825,235457.75,236328.10405031926,-870.3540503192635
4.845,235045.5625,235640.58866773796,-595.0261677379603
4.865,235399.0938,234958.6849768367,440.4088231633068
4.885,234405.6875,234282.32351878338,123.36398121662205
4.905,234062.3125,233611.4359662086,450.87653379139374
4.925,233160.0469,232945.95510023148,214.09179976850282
4.945,232758.4219,232285.81478804324,472.6071119567496
4.965,231179.0,231630.94996103295,-451.94996103295125
4.985,230636.7031,230981.29659343915,-344.59349343914073
5.005,230586.0,230336.79168151406,249.20831848593662
5.025,229262.4844,229697.37322318475,-434.8888231847668
5.045,229113.4531,229062.9801981984,50.472901801607804
5.065,228894.7188,228433.55254873796,461.1662512620387
5.085,228498.2031,227809.0311604951,689.1719395049149
5.105,227795.6563,227189.35784418817,606.2984558118333
5.125,226872.6563,226574.47531751305,298.18098248695605
5.145,225205.1094,225964.32718751463,-759.2177875146444
5.165,225026.5938,225358.85793336798,-332.2641333679785
5.185,224283.5313,224758.01288955857,-474.4815895585634
5.205,224286.9375,224161.73822944908,125.1992705509183
5.225,224717.0781,223569.98094922505,1147.0971507749637
5.245,223147.9375,222982.68885220648,165.24864779351628
5.265,223691.8594,222399.81053351826,1292.048866481724
5.285,221424.2344,221821.2953651075,-397.06096510752104
5.305,221637.2656,221247.09348110075,390.17211889926693
5.325,220772.2188,220677.15576349033,95.06303650967311
5.345,220418.2344,220111.433828143,306.80057185699116
5.365,220377.875,219549.88001112043,827.9949888795672
5.385,218417.4531,218992.44735530572,-574.9942553057044
5.405,219351.6719,218439.08959732577,912.5823026742146
5.425,218639.5469,217889.76115476355,749.7857452364406
5.445,217797.3281,217344.41711365193,452.9109863480844
5.465,216782.75,216803.01321624243,-20.263216242427006
5.485,216242.3281,216265.505849041,-23.17774904097314
5.505,216345.6563,215731.8520311053,613.804268894688
5.525,215192.5313,215202.00940259555,-9.478102595545352
5.545,214053.8438,214675.9362135734,-622.0924135734094
