Theta (degrees),Raw Intensity,Model Baseline,Corrected Net Intensity
4.705,287638.4688,287629.183897525,9.284902474959381
4.725,287163.375,287315.10259415174,-151.7275941517437
4.745,286523.5313,287000.39397641044,-476.86267641047016
4.765,286634.2813,286685.07361399586,-50.792313995887525
4.785,286400.2188,286369.1568055729,31.06199442705838
4.805,286134.9063,286052.65858441684,82.24771558312932
4.825,285483.875,285735.593723914,-251.71872391400393
4.845,284586.25,285417.9767429254,-831.7267429254134
4.865,285430.875,285099.8219110188,331.05308898119256
4.885,284093.1563,284781.143253572,-687.9869535720209
4.905,283475.1563,284461.95455675083,-986.7982567508589
4.925,283825.5,284142.26937236666,-316.7693723666598
4.945,283586.5625,283822.1010226155,-235.53852261550492
4.965,282887.875,283501.46260470274,-613.5876047027414
4.985,282207.5313,283180.3669953561,-972.8356953561306
5.005,282260.125,282858.8268552313,-598.7018552313093
5.025,282515.6563,282536.8546332119,-21.198333211941645
5.045,282041.375,282214.4625706067,-173.08757060667267
5.065,280160.8125,281891.66270524805,-1730.8502052480471
5.085,280767.5625,281568.46687549364,-800.9043754936429
5.105,280656.3125,281244.8867241336,-588.5742241336266
5.125,280301.7188,280920.9337022065,-619.2149022064987
5.145,280392.0625,280596.61907272646,-204.55657272646204
5.165,279443.0938,280271.9539143234,-828.8601143234409
5.185,279444.5938,279946.94912479917,-502.35532479919493
5.205,278888.375,279621.6154246017,-733.2404246017104
5.225,278849.3438,279295.9633602191,-446.61956021911465
5.245,277704.9688,278970.0033074968,-1265.0345074968063
5.265,278168.5625,278643.74547487823,-475.1829748782329
5.285,278173.4063,278317.1999065724,-143.79360657243524
5.305,277417.0625,277990.37648565,-573.3139856500202
5.325,277260.1563,277663.2849370691,-403.12863706913777
5.345,276863.5,277335.9348306334,-472.43483063339954
5.365,277386.9688,277008.3355838844,378.63321611558786
5.385,276548.4375,276680.49646492855,-132.0589649285539
5.405,276609.1563,276352.4265952027,256.7297047972679
5.425,276038.4688,276024.13495217665,14.333847823319957
5.445,275053.0313,275695.6303719981,-642.5990719981492
5.465,274792.75,275366.92155207816,-574.1715520781581
5.485,274243.9375,275038.01705362083,-794.0795536208316
5.505,274119.625,274708.92530409724,-589.3003040972399
5.525,274676.2188,274379.6545996661,296.5642003339017
5.545,273308.625,274050.21310754184,-741.5881075418438
5.565,273477.4375,273720.60886831186,-243.1713683118578
5.585,273236.1563,273390.8497982034,-154.6934982034145
5.605,273264.2813,273060.9436913027,203.3376086973003
5.625,272770.6875,272730.89822172606,39.78927827393636
5.645,272013.2813,272400.7209457454,-387.43964574544225
5.665,272394.125,272070.4193038682,323.70569613180123
5.685,271902.5313,271740.0006228738,162.53067712619668
5.705,270711.1875,271409.4721178073,-698.2846178073087
5.725,270711.9688,271078.8408939309,-366.8720939308987
5.745,270803.6875,270748.1139486344,55.57355136558181
5.765,269573.0625,270417.2981733076,-844.2356733076158
5.785,270943.3125,270086.40035517124,856.9121448287624
5.805,270889.75,269755.42717907246,1134.3228209275403
5.825,268697.75,269424.3852292418,-726.6352292418014
5.845,270212.4063,269093.28099101473,1119.1253089852398
5.865,268269.9688,268762.1208525179,-492.15205251792213
5.885,269032.4375,268430.9111063209,601.526393679087
5.905,269299.9375,268099.6579510544,1200.279548945604
5.925,268204.4063,267768.36749299587,436.0388070041081
5.945,267451.0938,267437.04574762256,14.048052377416752
5.965,266763.1563,267105.69864113454,-342.54234113456914
5.985,267160.1875,266774.3320119455,385.85548805451253
6.005,267857.2813,266442.9516121452,1414.329687854799
6.025,266297.625,266111.5631089318,186.06189106818056
6.045,265627.0625,265780.1720860168,-153.10958601679886
6.065,265754.9688,265448.784045001,306.184754998947
6.085,265752.9688,265117.4044067241,635.564393275883
6.105,264291.4688,264786.0385125878,-494.56971258780686
6.125,263990.8438,264454.691625852,-463.8478258520481
6.145,265035.4688,264123.3689329076,912.0998670923873
6.165,265151.2813,263792.0755445222,1359.2057554777712
6.185,264761.4375,263460.8164970638,1300.6210029362119
6.205,263308.9375,263129.5967536987,179.34074630128453
6.225,261705.7344,262798.4212055686,-1092.6868055686064
6.245,262530.3125,262467.2946729432,63.017827056813985
6.265,262021.0938,262136.2219063515,-115.12810635150527
6.285,262203.9688,261805.20758769172,398.76121230825083
6.305,262065.8594,261474.2563313195,591.6030686804734
6.325,261402.2656,261143.37268511613,258.8929148838797
6.345,260881.1563,260812.5611315358,68.59516846420593
6.365,260176.3125,260481.82608863368,-305.5135886336793
6.385,259975.9375,260151.1719110748,-175.23441107480903
6.405,260769.5938,259820.6028911232,948.990908876789
6.425,260439.8438,259490.1232596137,949.7205403863045
6.445,260594.8906,259159.73718690473,1435.1534130952787
6.465,259404.9219,258829.44878381374,575.4731161862437
6.485,258633.0781,258499.26210253543,133.81599746458232
6.505,258100.7031,258169.1811375431,-68.47803754310007
6.525,257100.2344,257839.20982647283,-738.9754264728399
6.545,257654.875,257509.3520509925,145.5229490075144
6.565,257888.8594,257179.61163765364,709.2477623463492
6.585,257566.2188,256849.9923587291,716.2264412709046
6.605,256072.7969,256520.4979330341,-447.70103303409996
6.625,255960.7813,256191.13202673392,-230.3507267339155
6.645,256052.0938,255861.8982541356,190.1955458644079
6.665,255320.0938,255532.80017846636,-212.70637846636237
6.685,254894.2813,255203.84131263752,-309.56001263752114
6.705,255997.0938,254875.0251199951,1122.0686800049152
6.725,254692.5938,254546.35501505647,146.23878494353266
6.745,255024.5625,254217.83436423485,806.7281357651518
6.765,253910.75,253889.46648654994,21.283513450063765
6.785,255422.875,253561.2546543265,1861.6203456734947
6.805,253312.7344,253233.20209388062,79.53230611936306
6.825,253468.4688,252905.31198619408,563.1568138059229
6.845,252459.0,252577.58746757585,-118.58746757585322
6.865,252205.6563,252250.03163031387,-44.37533031386556
6.885,252667.4844,251922.64752331356,744.8368766864296
6.905,251053.7188,251595.43815272665,-541.71935272665
6.925,251315.9063,251268.4064825683,47.49981743170065
6.945,251538.0938,250941.5554353239,596.5383646760893
6.965,251222.25,250614.88789254523,607.36210745477
6.985,250630.4375,250288.40669543663,342.03080456337193
7.005,250561.2656,249962.11464543093,599.1509545690787
7.025,249963.1875,249636.01450475553,327.172995244473
7.045,249975.9531,249310.10899698897,665.8441030110407
7.065,249493.875,248984.40080760792,509.474192392081
7.085,248917.2188,248658.892584525,258.32621547501185
7.105,248012.6406,248333.58693861755,-320.9463386175339
7.125,247472.9531,248008.4864442473,-535.5333442472911
7.145,247426.1719,247683.59363977145,-257.4217397714674
7.165,248038.625,247358.9110280453,679.7139719547122
7.185,247055.9531,247034.44107691606,21.512023083952954
7.205,247191.0625,246710.18621970917,480.87628029083135
7.225,247363.4063,246386.14885570577,977.2574442942278
7.245,245841.5,246062.33135061286,-220.83135061286157
7.265,245613.0938,245738.73603702502,-125.64223702502204
7.285,245640.9531,245415.36521487954,225.58788512047613
7.305,245369.625,245092.22115190286,277.4038480971358
7.325,244897.8281,244769.30608405065,128.52201594936196
7.345,245021.1719,244446.62221594053,574.5496840594569
7.365,244562.0,244124.17172127706,437.82827872294
7.385,244003.0938,243801.95674327074,201.13705672926153
7.405,243654.9688,243479.97939504974,174.98940495026181
7.425,243384.7656,243158.24176006485,226.5238399351656
7.445,242668.4375,242836.74589248834,-168.30839248833945
