Theta (degrees),Raw Intensity,Model Baseline,Corrected Net Intensity
4.705,228154.9063,230086.10996067055,-1931.2036606705515
4.725,227802.7344,229174.41803890705,-1371.6836389070668
4.745,226091.6563,228271.91244663537,-2180.2561466353654
4.765,226416.5469,227378.4724526737,-961.9255526737252
4.785,225586.2813,226493.97934844746,-907.6980484474625
4.805,224079.4531,225618.31640589552,-1538.863305895502
4.825,223806.2188,224751.36883642324,-945.1500364232343
4.845,222994.0938,223893.02375087206,-898.9299508720578
4.865,221819.1563,223043.17012047698,-1224.0138204769755
4.885,221021.9063,222201.69873878238,-1179.7924387823732
4.905,220419.6563,221368.50218449006,-948.8458844900597
4.925,219697.125,220543.47478521278,-846.3497852127766
4.945,219708.8281,219726.51258210608,-17.684482106065843
4.965,218102.8125,218917.51329535706,-814.7007953570574
4.985,217435.2188,218116.37629050153,-681.1574905015295
5.005,217578.9844,217323.00254555076,255.98185444923
5.025,215921.7813,216537.2946189019,-615.5133189019107
5.045,216226.0469,215759.1566180126,466.8902819873765
5.065,214888.9844,214988.49416881695,-99.5097688169626
5.085,214579.0,214225.21438586398,353.7856141360244
5.105,213069.9219,213469.2258431575,-399.3039431575162
5.125,212736.1406,212720.43854567915,15.702054320863681
5.145,211879.8438,211978.76390157492,-98.92010157491313
5.165,211420.4688,211244.1146949891,176.35410501089063
5.185,210583.875,210516.40505952568,67.46994047431508
5.205,209825.0313,209795.5504523223,29.4808476777107
5.225,209181.3594,209081.4676287195,99.89177128049778
5.245,208493.625,208374.0746175093,119.5503824907064
5.265,207474.4375,207673.29069674842,-198.85319674841594
5.285,207267.1719,206979.03637011998,288.13552988000447
5.305,206688.4531,206291.2333438306,397.21975616941927
5.325,206036.0313,205609.80450402744,426.22679597255774
5.345,205081.5938,204934.67389472286,146.9199052771437
5.365,204074.4375,204265.76669621264,-191.32919621263864
5.385,204226.4688,203603.00920397489,623.4595960251172
5.405,203541.2031,202946.32880803762,594.874291962391
5.425,203121.2344,202295.65397280303,825.5804271969537
5.445,202266.6563,201650.91421731559,615.7420826844173
5.465,202159.8281,201012.04009596456,1147.7880040354503
