Theta (degrees),Raw Intensity,Model Baseline,Corrected Net Intensity
4.705,269200.5938,266671.29654780426,2529.2972521957126
4.725,268533.375,266361.19267497514,2172.1823250248563
4.745,268169.75,266051.20534126513,2118.5446587348706
4.765,266929.9688,265741.3368641532,1188.631935846759
4.785,266836.375,265431.58952006866,1404.7854799313354
4.805,266510.375,265121.9655452459,1388.409454754088
4.825,266344.25,264812.46713655756,1531.7828634424368
4.845,266239.2813,264503.0964523263,1736.1848476736923
4.865,266075.2813,264193.85561311804,1881.4256868819357
4.885,265073.7813,263884.7467025145,1189.0345974855009
4.905,265535.8125,263575.7717678668,1960.0407321332023
4.925,264408.1563,263266.932821032,1141.2234789679642
4.945,264169.375,262958.23183908995,1211.1431609100546
4.965,263701.0,262649.6707650444,1051.3292349555995
4.985,263389.3125,262341.25150850636,1048.0609914936358
5.005,262885.9688,262032.97594636102,852.9928536389489
5.025,261499.0938,261724.8459234195,-225.75212341948645
5.045,261998.25,261416.8632530542,581.386746945791
5.065,261988.2813,261109.02971781982,879.251582180179
5.085,260403.0156,260801.34707005916,-398.3314700591436
5.105,261830.8281,260493.8170324949,1337.011067505111
5.125,259222.25,260186.44129880806,-964.1912988080585
5.145,260214.5469,259879.22153420164,335.32536579834414
5.165,258730.0469,259572.15937595276,-842.1124759527738
5.185,258520.9688,259265.25643395077,-744.2876339507638
5.205,258658.7031,258958.51429122346,-299.81119122344535
5.225,259168.1563,258651.93450445164,516.2217955483648
5.245,258361.7813,258345.51860447085,16.262695529148914
5.265,258238.1875,258039.26809676242,198.91940323758172
5.285,257876.4219,257733.18446193353,143.23743806645507
5.305,258207.3281,257427.26915618576,780.0589438142488
5.325,257615.1563,257121.5236117734,493.63268822661485
5.345,256693.7969,256815.94923745166,-122.15233745166915
5.365,255915.0313,256510.54741891468,-595.5161189146747
5.385,254384.9063,256205.31951922365,-1820.413219223643
5.405,255104.9063,255900.26687922547,-795.3605792254675
5.425,254878.375,255595.39081796265,-717.0158179626451
5.445,254844.3125,255290.69263307317,-446.3801330731658
5.465,255120.6094,254986.1736011825,134.43579881748883
5.485,254755.1563,254681.83497828685,73.32132171315607
5.505,253844.25,254377.67800012743,-533.428000127431
5.525,253818.0781,254073.70388255754,-255.62578255753033
5.545,252745.5156,253769.91382190076,-1024.3982219007448
5.565,252770.7031,253466.30899530245,-695.605895302433
5.585,252154.9063,253162.89056107248,-1007.9842610724736
5.605,252209.5,252859.65965902197,-650.1596590219706
5.625,251151.8438,252556.61741079154,-1404.7736107915407
5.645,250674.2031,252253.76492017356,-1579.5618201735488
5.665,251223.6094,251951.1032734272,-727.4938734272146
5.685,251244.8281,251648.63353958668,-403.80543958666385
5.705,250572.5625,251346.35677076335,-773.7942707633483
5.725,250598.75,251044.27400244103,-445.52400244103046
5.745,249176.9844,250742.3862537659,-1565.401853765914
5.765,251156.9375,250440.6945278293,716.2429721707013
5.785,250084.5156,250139.199811946,-54.68421194597613
5.805,249188.3125,249837.90307792503,-649.5905779250315
5.825,248668.1719,249536.80528233678,-868.6333823367895
5.845,248417.8125,249235.90736677323,-818.09486677323
5.865,247093.0938,248935.21025810324,-1842.1164581032353
5.885,248140.9688,248634.71486872312,-493.7460687231214
5.905,247755.875,248334.4220968015,-578.5470968015143
5.925,246729.0,248034.33282651956,-1305.3328265195596
5.945,248223.4063,247734.44792830583,488.95837169417064
5.965,246638.5313,247434.7682590676,-796.2369590676099
5.985,246685.5156,247135.2946624162,-449.77906241620076
6.005,246854.5313,246836.02796888858,18.503331111423904
6.025,246762.4063,246536.9689961644,225.43730383561342
6.045,245827.125,246238.11854927853,-410.9935492785298
6.065,246119.9375,245939.47742082982,180.46007917018142
6.085,245218.2969,245641.04639118508,-422.7494911850954
6.105,244604.5625,245342.82622868,-738.2637286800018
6.125,244831.6563,245044.8176898151,-213.1613898150972
6.145,244053.1406,244747.02151944826,-693.8809194482455
6.165,243844.8438,244449.4384509841,-604.5946509841015
6.185,243034.3125,244152.06920655875,-1117.75670655875
6.205,243180.6719,243854.91449722153,-674.2425972215424
6.225,243633.7813,243557.97502311293,75.80627688707318
6.245,243457.0625,243261.25147363983,195.81102636017022
6.265,242279.8594,242964.744527646,-684.8851276460045
6.285,241804.75,242668.45485358074,-863.7048535807407
6.305,242391.5938,242372.38310966376,19.210690336243715
6.325,241725.875,242076.52994404658,-350.6549440465751
6.345,241680.3125,241780.8959949714,-100.58349497138988
6.365,241313.9219,241485.48189092684,-171.55999092684942
6.385,241271.125,241190.28825080045,80.83674919954501
6.405,240235.1406,240895.3156840291,-660.1750840290915
6.425,240589.7813,240600.56479074538,-10.783490745379822
6.445,240407.8281,240306.03616192253,101.79193807748379
6.465,239414.25,240011.7303795161,-597.4803795161133
6.485,239488.7188,239717.6480166024,-228.92921660240972
6.505,239403.8438,239423.78963751593,-19.94583751593018
6.525,238720.0,239130.15579798233,-410.1557979823265
6.545,238908.2344,238836.74704525087,71.48735474911518
6.565,238533.625,238543.5639182229,-9.938918222906068
6.585,238147.625,238250.60694757893,-102.98194757892634
6.605,238013.2188,237957.876655903,55.3421440969978
6.625,237442.8438,237665.37355780488,-222.5297578048776
6.645,237848.9375,237373.0981600401,475.8393399599008
6.665,236775.9688,237081.05096162792,-305.0821616279136
6.685,237011.375,236789.23245396678,222.1425460332248
6.705,236316.6406,236497.64312094808,-181.00252094806638
6.725,235730.5,236206.283439068,-475.7834390680073
6.745,236184.6875,235915.1538775369,269.53362246308825
6.765,236203.2813,235624.2548983871,579.0264016129076
6.785,235124.4375,235333.5869565785,-209.14945657851058
6.805,234990.4063,235043.15050010305,-52.74420010304311
6.825,234281.1875,234752.94597008612,-471.7584700861189
6.845,234890.2656,234462.97380088732,427.29179911268875
6.865,234277.4688,234173.23442019895,104.23437980105518
6.885,234834.8438,233883.72824914267,951.1155508573283
6.905,233293.25,233594.45570236494,-301.2057023649395
6.925,234170.5781,233305.41718813014,865.1609118698689
6.945,233200.125,233016.6131084128,183.5118915872008
6.965,233512.8281,232728.04385898795,784.7842410120647
6.985,231232.1406,232439.7098295194,-1207.569229519373
7.005,231870.6406,232151.6114036476,-280.97080364759313
7.025,232350.0781,231863.74895907487,486.32914092513965
7.045,232398.0625,231576.12286765012,821.9396323498804
7.065,231357.3125,231288.73349545125,68.57900454875198
7.085,231445.1094,231001.58120286686,443.52819713312783
7.105,230366.4844,230714.66634467646,-348.1819446764712
7.125,230315.2813,230427.98927012898,-112.70797012897674
7.145,230331.625,230141.5503230201,190.07467697988614
7.165,230378.5625,229855.34984176862,523.2126582313795
7.185,230876.125,229569.38815949112,1306.7368405088782
7.205,229887.1094,229283.6656040756,603.4437959243951
7.225,229733.0625,228998.18249825385,734.8800017461472
7.245,229467.7188,228712.9391596726,754.7796403274115
7.265,228652.2188,228427.93590096346,224.28289903653786
7.285,228837.4844,228143.17302981194,694.3113701880502
7.305,227659.4375,227858.65084902506,-199.21334902505623
7.325,227774.75,227574.3696565977,200.38034340229933
7.345,227711.7344,227290.3297457787,421.4046542212891
7.365,228200.8906,227006.53140513462,1194.359194865392
7.385,226611.375,226722.9749186138,-111.5999186137924
7.405,226641.8125,226439.66056560806,202.15193439193536
7.425,226485.1875,226156.58862101464,328.59887898535817
7.445,226633.5781,225873.75935529626,759.818744703749
7.465,226003.0781,225591.17303454064,411.9050654593739
7.485,226138.5156,225308.82992051888,829.685679481132
7.505,225920.8281,225026.73027074302,894.0978292569926
7.525,225222.0781,224744.8743385226,477.2037614774017
7.545,224911.1563,224463.26237302047,447.89392697953735
7.565,225737.8281,224181.89461930734,1555.9334806926781
7.585,223371.4688,223900.77131841614,-529.3025184161379
7.605,223885.75,223619.89270739479,265.85729260521475
7.625,223829.1406,223339.25901935846,489.8815806415514
7.645,222854.2813,223058.87048354125,-204.58918354124762
7.665,223124.125,222778.72732534664,345.397674653359
7.685,222964.0625,222498.82976639734,465.23273360266467
7.705,223410.875,222219.17802458443,1191.6969754155725
7.725,221900.125,221939.77231411566,-39.647314115660265
7.745,222115.4688,221660.61284556292,454.8559544370801
7.765,221185.3281,221381.6998259092,-196.37172590917908
7.785,221468.7813,221103.03345859452,365.74784140547854
7.805,222165.2344,220824.61394356153,1340.6204564384534
7.825,220428.7031,220546.4414773,-117.73837729997467
7.845,220247.125,220268.51625289087,-21.39125289086951
7.865,220687.25,219990.83846004997,696.4115399500297
7.885,220052.3125,219713.40828516992,338.9042148300796
7.905,219112.1406,219436.225911363,-324.0853113629855
7.925,218966.0313,219159.29151850197,-193.26021850196412
7.945,218787.8906,218882.6052832611,-94.7146832610888
7.965,219070.1406,218606.16737915625,463.97322084376356
7.985,218861.8906,218329.97797658446,531.9126234155556
8.005,219222.1563,218054.03724286295,1168.1190571370535
8.025,218583.0625,217778.34534226733,804.7171577326662
8.045,217022.5156,217502.90243606956,-480.38683606954874
8.065,216971.5156,217227.7086825752,-256.1930825751915
8.085,216372.1875,216952.76423715998,-580.5767371599795
8.105,216725.5781,216678.06925230616,47.50884769385448
8.125,216870.3125,216403.6238776378,466.6886223622132
8.145,216398.6406,216129.4282599562,269.2123400437995
8.165,216170.5313,215855.48254327432,315.0487567256787
8.185,214865.0469,215581.7868688508,-716.7399688508012
8.205,216323.8594,215308.3413752236,1015.5180247763928
8.225,214835.5313,215035.14619824293,-199.61489824292948
8.245,214965.1875,214762.2014711043,202.9860288957134
8.265,214333.1563,214489.50732438007,-156.35102438007016
8.285,213979.1094,214217.0638860514,-237.95448605139973
8.305,214425.5,213944.87128153944,480.6287184605608
8.325,213174.875,213672.92963373597,-498.0546337359701
8.345,212727.3438,213401.23906303395,-673.8952630339481
8.365,213038.8594,213129.79968735707,-90.9402873570798
8.385,212495.0938,212858.61162218952,-363.5178221895185
8.405,213375.125,212587.67498060467,787.4500193953281
8.425,212164.8438,212316.98987329396,-152.1460732939595
8.445,211888.7031,212046.55640859515,-157.85330859513488
8.465,211234.5156,211776.37469251978,-541.8590925197641
8.485,211914.625,211506.44482878095,408.18017121904995
8.505,212286.0,211236.76691881998,1049.2330811800202
8.525,212062.4844,210967.3410618336,1095.143338166381
8.545,210987.4688,210698.16735479952,289.30144520048634
8.565,210391.9063,210429.24589250307,-37.33959250306361
8.585,211647.25,210160.57676756204,1486.6732324379554
8.605,209509.4063,209892.16007045246,-382.7537704524584
8.625,209548.75,209623.99588953308,-75.2458895330783
8.645,209309.5781,209356.08431106986,-46.50621106984909
8.665,209564.9844,209088.4254192603,476.55898073967546
8.685,207997.2656,208821.01929625723,-823.7536962572194
8.705,208302.1719,208553.86602219223,-251.69412219224614
8.725,207868.1406,208286.9656751987,-418.8250751986925
8.745,207695.875,208020.31833143483,-324.443331434828
8.765,208094.0781,207753.92406510637,340.1540348936396
8.785,207435.5938,207487.78294848825,-52.189148488250794
8.805,206358.5469,207221.89505194707,-863.3481519470806
8.825,207461.7031,206956.26044396262,505.4426560373977
8.845,206737.2344,206690.87919114882,46.35520885116421
8.865,206656.7188,206425.75135827527,230.96744172472972
8.885,206354.3438,206160.87700828782,193.4667917121842
8.905,206012.7656,205896.25620232886,116.50939767115051
8.925,205070.8125,205631.88899975782,-561.0764997578226
8.945,204572.0781,205367.775458171,-795.6973581709899
8.965,204961.4531,205103.91563342116,-142.46253342114505
8.985,204543.5625,204840.309579637,-296.74707963698893
9.005,204216.9375,204576.95734924215,-360.01984924214776
9.025,203971.0469,204313.85899297448,-342.81209297449095
9.045,204277.3125,204051.0145599042,226.29794009579928
9.065,203875.6563,203788.42409745263,87.23220254736952
9.085,202446.0156,203526.0876514102,-1080.072051410185
9.105,203472.7813,203264.00526595445,208.77603404555703
9.125,203133.9219,203002.1769836676,131.74491633239086
9.145,201830.25,202740.60284555398,-910.3528455539781
9.165,201879.9375,202479.2828910574,-599.3453910574026
9.185,201880.4063,202218.21715807804,-337.810858078039
9.205,202250.9531,201957.40568298925,293.54741701076273
9.225,201222.8125,201696.848500654,-474.03600065401406
9.245,200329.2969,201436.54564444144,-1107.2487444414583
9.265,201263.4531,201176.49714624256,86.95595375745324
9.285,201042.625,200916.70303648693,125.92196351307211
9.305,200126.7969,200657.16334415745,-530.3664441574656
9.325,199847.4688,200397.8780968066,-550.4092968066107
9.345,199656.25,200138.84732057134,-482.59732057133806
9.365,199489.375,199880.07104018843,-390.696040188428
9.385,199817.2813,199621.5492790091,195.73202099089394
9.405,199059.4531,199363.28205901428,-303.82895901426673
9.425,198447.4219,199105.2694008284,-657.8475008284149
9.445,197779.4063,198847.5113237345,-1068.1050237345044
9.465,197889.4375,198590.00784568803,-700.5703456880292
9.485,197208.0781,198332.75898333057,-1124.680883330555
9.505,197801.7188,198075.7647520044,-274.0459520044096
9.525,197873.8281,197819.0251657655,54.80293423452531
9.545,197267.7344,197562.5402373971,-294.8058373971144
9.565,197348.7344,197306.30997842338,42.42442157660844
9.585,196194.8906,197050.33439912208,-855.443799122062
9.605,196361.9063,196794.61350853814,-432.7072085381369
9.625,195900.3438,196539.1473144956,-638.8035144956084
9.645,195458.0,196283.9358236112,-825.9358236111875
9.665,195931.6875,196028.97904130621,-97.29154130621464
9.685,196290.3438,195774.27697181905,516.0668281809485
9.705,195031.75,195519.82961821748,-488.07961821748177
9.725,194669.7344,195265.6369824105,-595.9025824105192
9.745,194969.875,195011.69906516044,-41.82406516044284
9.765,194325.5156,194758.01586609456,-432.50026609454653
9.785,194634.875,194504.58738371657,130.2876162834291
9.805,194670.1875,194251.41361541848,418.77388458151836
9.825,193926.1094,193998.49455749127,-72.38515749128419
9.845,193244.0156,193745.83020513665,-501.8146051366348
9.865,193644.8281,193493.420552478,151.4075475220161
9.885,192337.9531,193241.26559257094,-903.3124925709271
9.905,191779.7656,192989.36531741443,-1209.599717414414
9.925,192560.7969,192737.71971796142,-176.92281796142925
9.945,191704.875,192486.3287841291,-781.4537841290876
9.965,191765.5156,192235.19250480965,-469.6769048096321
9.985,191488.625,191984.31086788024,-495.6858678802382
10.005,190851.75,191733.6838602132,-881.9338602132048
10.025,190756.5625,191483.3114676863,-726.7489676862897
10.045,190363.75,191233.19367519216,-869.4436751921603
10.065,189774.2344,190983.33046664862,-1209.0960666486353
10.085,190559.8125,190733.72182500787,-173.90932500787312
10.105,189553.1094,190484.36773226658,-931.2583322665887
10.125,188782.9219,190235.26816947458,-1452.3462694745976
10.145,188768.75,189986.42311674505,-1217.673116745049
10.165,188198.9375,189737.83255326303,-1538.895053263026
10.185,189087.125,189489.49645729494,-402.3714572949393
10.205,188288.25,189241.41480619734,-953.1648061973392
10.225,188344.125,188993.58757642607,-649.4625764260709
10.245,187796.8281,188746.01474354486,-949.1866435448464
10.265,188031.9219,188498.69628223396,-466.77438223396894
10.285,187364.1406,188251.63216629918,-887.4915662991698
10.305,186984.6094,188004.82236867968,-1020.212968679698
10.325,186842.3594,187758.2668614569,-915.9074614569254
10.345,186400.9844,187511.96561586257,-1110.9812158625864
10.365,186584.9219,187265.91860228722,-680.9967022872297
10.385,187184.5469,187020.12579028786,164.4211097121297
10.405,184903.4063,186774.58714859627,-1871.1808485962683
10.425,185697.125,186529.30264512685,-832.1776451268524
10.445,185393.9063,186284.27224698453,-890.3659469845297
10.465,185262.3438,186039.49592047223,-777.152120472223
10.485,184998.9063,185794.97363109892,-796.0673310989223
10.505,184368.7813,185550.70534358686,-1181.924043586856
10.525,184535.7656,185306.6910218791,-770.9254218790738
10.545,184741.5625,185062.930629147,-321.36812914701295
10.565,183652.125,184819.42412779757,-1167.299127797567
10.585,183933.125,184576.17147948037,-643.0464794803702
10.605,183724.1406,184333.17264509524,-609.0320450952277
10.625,184000.5469,184090.42758479857,-89.88068479858339
10.645,182966.0938,183847.93625801103,-881.8424580110295
10.665,182732.9219,183605.69862342396,-872.7767234239727
10.685,182757.9531,183363.71463900656,-605.7615390065475
10.705,181960.4375,183121.9842620123,-1161.5467620122945
10.725,181908.7031,182880.5074489857,-971.8043489856937
10.745,181602.7656,182639.2841557693,-1036.5185557692894
10.765,181475.375,182398.31433750942,-922.9393375094223
10.785,180714.2188,182157.5979486635,-1443.3791486634873
10.805,181301.1094,181917.13494300575,-616.0255430057587
10.825,180112.6719,181676.92527363377,-1564.2533736337791
10.845,180278.5469,181436.96889297484,-1158.4219929748506
10.865,180165.5938,181197.26575279198,-1031.6719527919777
10.885,179117.0781,180957.8158041901,-1840.7377041900763
10.905,179496.0781,180718.61899762205,-1222.5408976220351
10.925,177634.1563,180479.6752828943,-2845.518982894311
10.945,178130.375,180240.98460917367,-2110.609609173669
10.965,178648.5156,180002.54692499197,-1354.0313249919564
10.985,177639.625,179764.36217825286,-2124.7371782528644
11.005,177804.4219,179526.4303162369,-1722.0084162369021
11.025,177318.0938,179288.75128560732,-1970.657485607313
11.045,177440.0,179051.32503241597,-1611.3250324159744
11.065,176766.6719,178814.15150210838,-2047.4796021083894
11.085,177383.6875,178577.23063952936,-1193.5431395293563
11.105,176409.7656,178340.5623889287,-1930.796788928681
11.125,176077.7656,178104.1466939662,-2026.3810939661926
11.145,176250.2031,177867.98349771695,-1617.7803977169388
11.165,175859.4844,177632.07274267674,-1772.588342676754
11.185,175350.4063,177396.41437076725,-2046.008070767246
11.205,174951.2188,177161.0083233409,-2209.789523340907
11.225,175828.1094,176925.85454118633,-1097.745141186344
11.245,174384.9688,176690.9529645331,-2305.984164533089
11.265,174481.1719,176456.3035330567,-1975.131633056706
11.285,175190.3594,176221.90618588365,-1031.5467858836637
11.305,174601.3438,175987.76086159603,-1386.417061596032
11.325,173085.2813,175753.86749823674,-2668.586198236735
11.345,173650.9844,175520.22603331372,-1869.241633313737
11.365,173351.875,175286.83640380503,-1934.961403805035
11.385,173007.2031,175053.69854616342,-2046.4954461634043
11.405,173199.9063,174820.81239632095,-1620.9060963209486
11.425,172352.1563,174588.17788969338,-2236.0215896933805
11.445,172936.8438,174355.79496118493,-1418.9511611849302
11.465,172768.3594,174123.66354519266,-1355.3041451926692
11.485,172637.3438,173891.78357561072,-1254.439775610721
11.505,171571.0313,173660.1549858349,-2089.1236858349002
11.525,170914.8438,173428.77770876692,-2513.9339087669214
11.545,170415.8906,173197.65167681882,-2781.7610768188024
11.565,171331.6875,172966.7768219168,-1635.0893219168065
11.585,170492.5,172736.1530755059,-2243.653075505892
11.605,169801.8594,172505.78036855385,-2703.9209685538663
11.625,170091.0469,172275.6586315552,-2184.6117315552256
11.645,170292.3594,172045.7877945357,-1753.428394535702
11.665,170013.9063,171816.16778705572,-1802.2614870557154
11.685,169352.8125,171586.7985382148,-2233.986038214789
11.705,169503.5625,171357.67997665517,-1854.1174766551703
11.725,169291.5,171128.8120305661,-1837.3120305660996
11.745,168919.3438,170900.19462768716,-1980.850827687158
11.765,169939.1094,170671.82769531268,-732.7182953126903
11.785,168953.5,170443.71116029506,-1490.2111602950608
11.805,168706.9844,170215.8449490488,-1508.8605490488117
11.825,168358.4531,169988.22898755388,-1629.7758875538711
11.845,167836.875,169760.86320135993,-1923.9882013599272
11.865,167558.1719,169533.74751558912,-1975.5756155891286
11.885,167457.4844,169306.88185494073,-1849.397454940743
11.905,167196.7813,169080.26614369376,-1883.484843693761
11.925,166965.1719,168853.900305711,-1888.7284057110082
11.945,166352.3594,168627.78426444237,-2275.4248644423787
11.965,165920.7188,168401.9179429284,-2481.19914292841
11.985,166070.75,168176.30126380356,-2105.551263803558
12.005,166130.1094,167950.93414929978,-1820.8247492997907
12.025,165502.3438,167725.81652124974,-2223.4727212497382
12.045,165869.8594,167500.94830109,-1631.0889010899991
12.065,165645.8438,167276.32940986461,-1630.4856098646123
12.085,164594.5625,167051.95976822815,-2457.3972682281455
12.105,165793.875,166827.83929644895,-1033.9642964489467
12.125,165259.8438,166603.96791441244,-1344.124114412436
12.145,164293.4375,166380.34554162403,-2086.908041624032
12.165,163646.75,166156.97209721248,-2510.222097212478
12.185,163956.6406,165933.84749993286,-1977.2068999328476
12.205,163736.2656,165710.97166816978,-1974.7060681697621
12.225,163948.7813,165488.3445199401,-1539.5632199400861
12.245,163246.4219,165265.96597289617,-2019.544072896184
12.265,163857.375,165043.83594432884,-1186.4609443288355
12.285,162485.2656,164821.95435117022,-2336.688751170208
12.305,163081.375,164600.32110999676,-1518.9461099967593
12.325,162000.0938,164378.9361370321,-2378.8423370321107
12.345,163248.625,164157.7993481498,-909.1743481497979
12.365,161446.7344,163936.9106588764,-2490.176258876425
12.385,162006.5469,163716.26998439385,-1709.7230843938596
12.405,161866.8125,163495.87723954275,-1629.0647395427513
12.425,161659.2813,163275.7323388249,-1616.451038824889
12.445,160607.2969,163055.83519640574,-2448.53829640575
12.465,161357.9531,162836.18572611758,-1478.2326261175622
12.485,160503.1719,162616.78384146185,-2113.611941461859
12.505,160314.9688,162397.62945561198,-2082.6606556119805
12.525,160033.7188,162178.72248141584,-2145.0036814158375
12.545,159194.2656,161960.06283139842,-2765.7972313984064
12.565,159769.3594,161741.65041776458,-1972.2910177645972
12.585,159216.6875,161523.48515240112,-2306.7976524011174
12.605,160144.9531,161305.56694687976,-1160.6138468797435
12.625,159296.3594,161087.8957124597,-1791.536312459706
12.645,158687.4375,160870.4713600893,-2183.0338600892865
12.665,158771.4375,160653.29380040977,-1881.8563004097668
12.685,158412.4375,160436.36294375642,-2023.9254437564232
12.705,157545.4688,160219.6787001618,-2674.2099001618044
12.725,158424.875,160003.2409793579,-1578.3659793579136
12.745,157806.0156,159787.04969077816,-1981.0340907781501
12.765,157757.5938,159571.10474356049,-1813.5109435604827
12.785,157729.1719,159355.40604654897,-1626.234146548988
12.805,157987.2031,159139.95350829634,-1152.7504082963278
12.825,156591.7656,158924.7470370666,-2332.981437066599
12.845,157147.7969,158709.78654083647,-1561.9896408364875
12.865,155938.6875,158495.07192729868,-2556.3844272986753
12.885,156045.5781,158280.60310386313,-2235.02500386312
12.905,155601.0,158066.3799776598,-2465.379977659788
12.925,155002.4844,157852.4024555407,-2849.9180555407074
